question_id,question,options,answer,answer_index,cot_content,category,src
6033,"An 18-year-old man is brought to the emergency department 10 minutes after he sustained a stab wound to his chest. On arrival, he is unresponsive to painful stimuli. His pulse is 130/min, respirations are 8/min and shallow, and palpable systolic blood pressure is 60 mm Hg. He is intubated and mechanically ventilated, and infusion of 0.9% saline is begun. After 5 minutes, his pulse is 130/min, and blood pressure is 70/40 mm Hg. Examination shows a 2-cm wound at the left sixth intercostal space at the midclavicular line. There is jugular venous distention. Breath sounds are normal. The trachea is at the midline. Heart sounds are not audible. Which of the following is the most appropriate next step in management?","['Pericardiocentesis' 'Perform a CT scan of the chest' 'Thoracentesis'
 'Bronchoscopy' 'Administer morphine for pain management'
 'Echocardiography' 'Chest x-ray' 'Surgical exploration of the wound'
 'Administer intravenous antibiotics' 'Administer oxygen therapy']",A,0,,health,ori_mmlu-professional_medicine
6036,"A 47-year-old man is brought to the emergency department 2 hours after the sudden onset of shortness of breath, severe chest pain, and sweating. He has no history of similar symptoms. He has hypertension treated with hydrochlorothiazide. He has smoked one pack of cigarettes daily for 30 years. His pulse is 110/min, respirations are 24/min, and blood pressure is 110/50 mm Hg. A grade 3/6, diastolic blowing murmur is heard over the left sternal border and radiates to the right sternal border. Femoral pulses are decreased bilaterally. An ECG shows left ventricular hypertrophy. Which of the following is the most likely diagnosis?","['Acute myocardial infarction' 'Congestive heart failure'
 'Angina pectoris' 'Aortic dissection' 'Mitral valve prolapse'
 'Esophageal rupture' 'Hypertensive crisis' 'Thoracic aortic aneurysm'
 'Pulmonary embolism' 'Aortic stenosis']",D,3,,health,ori_mmlu-professional_medicine
6037,"A 47-year-old man is brought to the emergency department 2 hours after the sudden onset of shortness of breath, severe chest pain, and sweating. He has no history of similar symptoms. He has hypertension treated with hydrochlorothiazide. He has smoked one pack of cigarettes daily for 30 years. His pulse is 110/min, respirations are 24/min, and blood pressure is 110/50 mm Hg. A grade 3/6, diastolic blowing murmur is heard over the left sternal border and radiates to the right sternal border. Femoral pulses are decreased bilaterally. An ECG shows left ventricular hypertrophy. Which of the following is the most likely diagnosis? ","['Angina pectoris' 'Pulmonary embolism' 'Aortic dissection'
 'Esophageal rupture' 'Hypertensive crisis' 'Thoracic aortic aneurysm'
 'Aortic stenosis' 'Congestive heart failure' 'Mitral valve prolapse'
 'Acute myocardial infarction']",C,2,,health,ori_mmlu-professional_medicine
6038,"A 78-year-old male presents to the office with the complaint of severe neck pain. He rates the pain as a 7 on a scale of 0 to 10 scale. He denies any trauma but reports that he had been doing a lot of painting over the past week. He denies any radicular pain or numbness. Cervical range of motion is moderately limited in all fields. He is treated with articulatory springing technique. Four hours later the physician receives a call from the local emergency department, where the patient presented confused, nauseated, and vertiginous. The physician may be found liable if","['the motion barrier was articulated more than 3 times'
 'the motion barrier was met with a vectored force from the direction of ease'
 'the neck was treated in simultaneous hyperrotation and extension'
 'the patient was previously treated for osteoarthritis of the cervical spine']",C,2,,health,ori_mmlu-professional_medicine
6039,"A 78-year-old male presents to the office with the complaint of severe neck pain. He rates the pain as a 7 on a scale of 0 to 10 scale. He denies any trauma but reports that he had been doing a lot of painting over the past week. He denies any radicular pain or numbness. Cervical range of motion is moderately limited in all fields. He is treated with articulatory springing technique. Four hours later the physician receives a call from the local emergency department, where the patient presented confused, nauseated, and vertiginous. The physician may be found liable if","['the neck was treated in simultaneous hyperrotation and extension'
 'the treatment was performed without first conducting a thorough physical examination'
 'the treatment was performed without prior consent from the patient'
 ""the physician failed to recognize the patient's age as a risk factor for complications""
 'the patient was previously treated for osteoarthritis of the cervical spine'
 'the patient was not properly instructed on aftercare following the treatment'
 'the physician did not ask about any pre-existing conditions before treatment'
 'the patient was not advised of potential risks before the treatment'
 'the motion barrier was articulated more than 3 times'
 'the motion barrier was met with a vectored force from the direction of ease']",A,0,,health,ori_mmlu-professional_medicine
6041,"A 25-year-old man is brought to the emergency department because of a 6-day history of fever, severe muscle pain, and diffuse, painful swelling of his neck, underarms, and groin area. The symptoms began after returning from a camping trip in New Mexico. He appears ill and lethargic and can barely answer questions. His temperature is 39.2°C (102.5°F), pulse is 120/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. Physical examination shows generalized scattered black maculae. Examination of the right upper extremity shows an erythematous, solid, tender mass on the underside of the upper extremity just above the elbow; the mass is draining blood and necrotic material. The most effective antibiotic for this patient’s disorder will interfere with which of the following cellular processes or enzymes?","['DNA helicase' 'Ribosomal assembly' 'Mitochondrial ATP synthesis'
 'Glucuronosyltransferase' 'Topoisomerase II activity' 'Lipid synthesis'
 'RNA polymerase activity' 'Cell wall synthesis' 'Proteasomal degradation'
 'Phospholipase function']",B,1,,health,ori_mmlu-professional_medicine
6042,"A 25-year-old man is brought to the emergency department because of a 6-day history of fever, severe muscle pain, and diffuse, painful swelling of his neck, underarms, and groin area. The symptoms began after returning from a camping trip in New Mexico. He appears ill and lethargic and can barely answer questions. His temperature is 39.2°C (102.5°F), pulse is 120/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. Physical examination shows generalized scattered black maculae. Examination of the right upper extremity shows an erythematous, solid, tender mass on the underside of the upper extremity just above the elbow; the mass is draining blood and necrotic material. The most effective antibiotic for this patient’s disorder will interfere with which of the following cellular processes or enzymes? ","['Ribosomal assembly' 'RNA polymerase activity'
 'Mitochondrial ATP synthesis' 'Glucuronosyltransferase' 'DNA helicase'
 'Proteasomal degradation' 'Phospholipase function' 'Lipid synthesis'
 'Topoisomerase II activity' 'Cell wall synthesis']",A,0,,health,ori_mmlu-professional_medicine
6043,"A 16-year-old boy is admitted to the emergency department because of a knife wound to the left side of his chest. An x-ray of the chest shows an air-fluid level in the left side of the chest, partial collapse of the left lung, and elevation of the stomach bubble. The mediastinum is in the midline. Which of the following is the most likely diagnosis?","['Rib fracture' 'Hemopneumothorax, not under tension' 'Flail chest'
 'Pneumothorax, not under tension' 'Cardiac tamponade'
 'Tension pneumothorax' 'Pulmonary contusion' 'Tension hemopneumothorax'
 'Hemothorax, not under tension' 'Pleural effusion']",B,1,,health,ori_mmlu-professional_medicine
6044,"A 16-year-old boy is admitted to the emergency department because of a knife wound to the left side of his chest. An x-ray of the chest shows an air-fluid level in the left side of the chest, partial collapse of the left lung, and elevation of the stomach bubble. The mediastinum is in the midline. Which of the following is the most likely diagnosis? ","['Pneumothorax, not under tension' 'Flail chest' 'Pleural effusion'
 'Pulmonary contusion' 'Tension pneumothorax'
 'Hemothorax, not under tension' 'Hemopneumothorax, not under tension'
 'Cardiac tamponade' 'Tension hemopneumothorax' 'Rib fracture']",G,6,,health,ori_mmlu-professional_medicine
6045,"A 57-year-old man comes to the emergency department because of cramping in his hands and feet and numbness and tingling around his lips and in his fingers; these symptoms occurred intermittently for 6 months but have been progressively severe during the past 2 weeks. He also has had a 13-kg (30-lb) weight loss and bulky, foul-smelling stools that do not flush easily. He has a 10-year history of drinking 8 to 10 beers daily. He has been hospitalized twice for severe abdominal pain 4 and 6 years ago. His pulse is 80/min, and blood pressure is 105/65 mm Hg. He appears cachectic and chronically ill. The abdomen is nontender. Deep tendon reflexes are 4+ bilaterally. Chvostek and Trousseau signs are present. His serum calcium concentration is 6.5 mg/dL. Which of the following is the most likely diagnosis?","['Hypercalcemia' 'Hypokalemia' 'Osteomalacia' 'Chronic Pancreatitis'
 'Vitamin D deficiency' 'Hyperparathyroidism'
 'Alcohol Withdrawal Syndrome' 'Pernicious Anemia']",D,3,,health,ori_mmlu-professional_medicine
6117,"A 42-year-old woman is brought to the emergency department 10 minutes after being involved in a high-speed motor vehicle collision in which she was a restrained passenger. On arrival, she has shortness of breath and abdominal pain. Her pulse is 135/min, respirations are 30/min, and blood pressure is 80/40 mm Hg. Breath sounds are decreased at the left lung base. An x-ray of the chest shows opacification of the left lower lung field with loss of the diaphragmatic shadow. Placement of a chest tube yields a small amount of air followed by greenish fluid. Which of the following is the most appropriate next step in management?","['Immediate intubation' 'Administration of supplemental oxygen'
 'Thoracotomy' 'Intravenous administration of broad-spectrum antibiotics'
 'CT scan of the chest' 'Laparotomy' 'Placement of a second chest tube'
 'CT scan of the abdomen' 'Thoracoscopy' 'Repeat chest x-ray']",F,5,,health,ori_mmlu-professional_medicine
6183,A 29-year-old woman comes to the emergency department because she has had increasingly severe lower abdominal pain and nausea for the past 2 days. She is sexually active and does not use any contraception. Her last menstrual period ended 6 days ago. Temperature is 38.3°C (101.0°F). Physical examination discloses abdominal tenderness in the lower quadrants bilaterally with rebound and guarding. Pelvic examination discloses leukorrhea at the cervical os and tenderness of the uterus to palpation. The adnexal areas are tender but no masses are palpable. Which of the following is the most appropriate diagnostic study?,"['Cervical culture' 'Culdocentesis' 'Laparoscopy'
 'Serum β-hCG concentration']",A,0,,health,ori_mmlu-professional_medicine
6238,"A 54-year-old woman comes to the emergency department because of severe jaw pain since undergoing a painful dental procedure 1 day ago. The patient was prescribed codeine after the procedure and instructed to take the medication every 4 hours, but she has continued pain despite adherence to this analgesic regimen. Other members of her family also have experienced poor pain control with codeine. Which of the following is the most likely explanation for this therapeutic failure?","['Increased plasma protein-binding of codeine'
 'Interference from the dental procedure'
 'Insufficient dosage of codeine prescribed by the dentist'
 'Allergic reaction to codeine preventing pain relief'
 'Resistance to codeine developed over time'
 'Decreased metabolism of codeine to morphine'
 'Overuse of codeine leading to tolerance' 'Deficiency of κ receptors'
 'Decreased absorption of codeine']",F,5,,health,ori_mmlu-professional_medicine
6252,"A previously healthy 15-year-old boy is brought to the emergency department in August 1 hour after the onset of headache, dizziness, nausea, and one episode of vomiting. His symptoms began during the first hour of full-contact football practice in full uniform. He reported feeling weak and faint but did not lose consciousness. He vomited once after drinking water. On arrival, he is diaphoretic. He is not oriented to person, place, or time. His temperature is 39.5°C (103.1°F), pulse is 120/min, respirations are 40/min, and blood pressure is 90/65 mm Hg. Examination, including neurologic examination, shows no other abnormalities. Which of the following is the most appropriate next step in management?","['Administer an epinephrine injection'
 'Administer oxygen via a nasal cannula' 'Perform a lumbar puncture'
 'Immerse the patient in an ice water bath'
 'Apply cold compresses to the forehead' 'Obtain a CT scan of the head'
 'Administer a dose of ibuprofen' 'Administer intravenous fluids'
 'Administer sodium chloride tablets' 'Administer a glucose injection']",D,3,,health,ori_mmlu-professional_medicine
6253,"A previously healthy 15-year-old boy is brought to the emergency department in August 1 hour after the onset of headache, dizziness, nausea, and one episode of vomiting. His symptoms began during the first hour of full-contact football practice in full uniform. He reported feeling weak and faint but did not lose consciousness. He vomited once after drinking water. On arrival, he is diaphoretic. He is not oriented to person, place, or time. His temperature is 39.5°C (103.1°F), pulse is 120/min, respirations are 40/min, and blood pressure is 90/65 mm Hg. Examination, including neurologic examination, shows no other abnormalities. Which of the following is the most appropriate next step in management? ","['Administer sodium chloride tablets'
 'Immerse the patient in an ice water bath'
 'Administer a dose of ibuprofen' 'Administer a glucose injection'
 'Apply cold compresses to the forehead' 'Administer intravenous fluids'
 'Administer an epinephrine injection' 'Perform a lumbar puncture'
 'Administer oxygen via a nasal cannula' 'Obtain a CT scan of the head']",B,1,,health,ori_mmlu-professional_medicine
6356,"A 46-year-old man with Marfan syndrome, aortic insufficiency, and mitral regurgitation comes to the emergency department because he has had severe substernal chest pain for the past 3 hours. He describes the pain as tearing in quality and radiating to the neck. One week earlier he experienced similar but less severe chest pain and treated himself with aspirin. Which of the following is the most likely underlying cause for his worsening symptoms?","['Dissection of the aorta' 'Pulmonary embolism' 'Mitral valve prolapse'
 'Gastroesophageal reflux disease' 'Chronic obstructive pulmonary disease'
 'Ventricular septal defect' 'Stable angina' 'Acute myocardial infarction'
 'Esophageal reflux with spasm' 'Acute bacterial endocarditis']",A,0,,health,ori_mmlu-professional_medicine
6371,"A 43-year-old man with a history of self-mutilation comes to the emergency department because of pain in his right thigh and shaking chills during the past 3 days. He says he intentionally burned his right thigh several times with a cigarette lighter 6 days ago. This morning he soaked his thigh in a tub of hot water and massaged it, after which a large amount of ""greenish fluid"" drained from the wound sites. The patient normally takes lithium carbonate but stopped 3 months ago after he lost his job. Medical history is otherwise unremarkable. Vital signs are temperature 39.2°C (102.5°F), pulse 170/min, respirations 18/min, and blood pressure 120/60 mm Hg. Physical examination shows an edematous right lateral thigh with multiple burn sites with a white exudative appearance. There is erythema surrounding the burn areas with red streaks extending up the thigh. Palpation of the burn sites discloses fluctuance. Results of laboratory studies show a hemoglobin concentration of 14 g/dL and a leukocyte count of 19,000/mm3 . In addition to beginning antibiotic therapy, which of the following is the most appropriate next step?","['Application of a pressure bandage' 'Intravenous fluid resuscitation'
 'Recommencement of lithium carbonate treatment'
 'Transfer to a burn center' 'Thrombolytic therapy'
 'Immediate surgical amputation' 'Physical therapy consultation'
 'Psychiatric consultation' 'Topical silver sulfadiazine'
 'Incision and drainage']",J,9,,health,ori_mmlu-professional_medicine
6372,"A 43-year-old man with a history of self-mutilation comes to the emergency department because of pain in his right thigh and shaking chills during the past 3 days. He says he intentionally burned his right thigh several times with a cigarette lighter 6 days ago. This morning he soaked his thigh in a tub of hot water and massaged it, after which a large amount of ""greenish fluid"" drained from the wound sites. The patient normally takes lithium carbonate but stopped 3 months ago after he lost his job. Medical history is otherwise unremarkable. Vital signs are temperature 39.2°C (102.5°F), pulse 170/min, respirations 18/min, and blood pressure 120/60 mm Hg. Physical examination shows an edematous right lateral thigh with multiple burn sites with a white exudative appearance. There is erythema surrounding the burn areas with red streaks extending up the thigh. Palpation of the burn sites discloses fluctuance. Results of laboratory studies show a hemoglobin concentration of 14 g/dL and a leukocyte count of 19,000/mm3 . In addition to beginning antibiotic therapy, which of the following is the most appropriate next step? ","['Psychiatric consultation' 'Transfer to a burn center'
 'Recommencement of lithium carbonate treatment'
 'Immediate surgical amputation' 'Topical silver sulfadiazine'
 'Physical therapy consultation' 'Incision and drainage'
 'Thrombolytic therapy' 'Application of a pressure bandage'
 'Intravenous fluid resuscitation']",G,6,,health,ori_mmlu-professional_medicine
6373,"A 38-year-old man with Down syndrome and severe mental retardation is brought to the emergency department by ambulance because of increasing lethargy for the past several hours. The patient is noncommunicative and you are unable to obtain an initial history of his present illness or a past medical history. You do not know if he takes any medications. Vital signs are temperature 38.3°C (100.9°F), pulse 90/min, respirations 19/min, and blood pressure 120/60 mm Hg. On physical examination the patient is awake but lethargic. Auscultation of the chest discloses clear lungs; cardiac examination discloses a systolic click. Neurologic examination shows decreased muscle tone. Serum electrolyte concentrations are normal. Complete blood count shows a leukocyte count of 18,000/mm3 with 23% band neutrophils. The patient's caregiver, who is also the patient's guardian, cannot be located and staff at the group home where the patient resides cannot be reached by telephone. The patient refuses lumbar puncture for examination of cerebrospinal fluid. Toxicologic screening of the urine is negative. Which of the following is the most appropriate next step?","['Obtain echocardiography' 'Administer oral antibiotics'
 'Provide intravenous fluids and observe' 'Order a chest X-ray'
 'Initiate seizure precautions'
 'Await contact with the caregiver before proceeding with management'
 ""Wait for the patient's consent for a lumbar puncture""
 'Obtain CT scan of the head' 'Administer intravenous antibiotics'
 'Perform a psychiatric evaluation']",I,8,,health,ori_mmlu-professional_medicine
6374,"A 38-year-old man with Down syndrome and severe mental retardation is brought to the emergency department by ambulance because of increasing lethargy for the past several hours. The patient is noncommunicative and you are unable to obtain an initial history of his present illness or a past medical history. You do not know if he takes any medications. Vital signs are temperature 38.3°C (100.9°F), pulse 90/min, respirations 19/min, and blood pressure 120/60 mm Hg. On physical examination the patient is awake but lethargic. Auscultation of the chest discloses clear lungs; cardiac examination discloses a systolic click. Neurologic examination shows decreased muscle tone. Serum electrolyte concentrations are normal. Complete blood count shows a leukocyte count of 18,000/mm3 with 23% band neutrophils. The patient's caregiver, who is also the patient's guardian, cannot be located and staff at the group home where the patient resides cannot be reached by telephone. The patient refuses lumbar puncture for examination of cerebrospinal fluid. Toxicologic screening of the urine is negative. Which of the following is the most appropriate next step? ","['Order a chest X-ray' 'Initiate seizure precautions'
 'Obtain CT scan of the head' 'Perform a psychiatric evaluation'
 'Provide intravenous fluids and observe' 'Administer oral antibiotics'
 'Administer intravenous antibiotics' 'Obtain echocardiography'
 'Await contact with the caregiver before proceeding with management'
 ""Wait for the patient's consent for a lumbar puncture""]",G,6,,health,ori_mmlu-professional_medicine
6375,"A previously healthy 27-year-old nulligravid woman comes to the emergency department because of a 2-day history of moderate-to-severe pain and swelling of the left labia. She is sexually active and uses condoms inconsistently. Her temperature is 37.2°C (99°F), pulse is 92/min, respirations are 18/min, and blood pressure is 115/75 mm Hg. Pelvic examination shows a 4 x 3-cm, tender, fluctuant mass medial to the left labium majus compromising the introital opening. Which of the following is the most appropriate next step in management?","['Administration of intravenous vancomycin' 'Incision and drainage'
 'Administration of intravenous ceftriaxone'
 'Administration of intravenous metronidazole'
 'Observation and re-evaluation in 24 hours'
 'Administration of oral antibiotics'
 'Administration of intravenous penicillin G'
 'Ultrasound-guided needle aspiration of the mass'
 'Initiation of antiviral therapy' 'Surgical excision of the mass']",B,1,,health,ori_mmlu-professional_medicine
